fid;alt;ru;cwb_2020;cwb_2021;cwb_2022;cwb_2023;cwb_2024;cwb_2025
1;932.26001;1;-301.61183;-77.57788;-408.52692;-282.18454;464.00123;246.8
2;1040.08997;1;-288.41661;-106.36802;-494.21481;-240.081;211.73534;-44.3
3;946.91998;1;-301.61183;-77.57788;-465.50722;-321.24305;364.3662;246.8
4;986.14001;1;-301.61183;-77.57788;-465.50722;-321.24305;364.3662;246.8
5;189.78999;2;-312.63022;-429.8356;-602.03111;-461.5676;-404.44184;-400.20001
6;184.03999;2;-312.63022;-429.8356;-602.03111;-461.5676;-404.44184;-400.20001
7;194.48;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-433.89999
8;212.11;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-400.20001
9;192.73;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-400.20001
10;185.74001;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-400.20001
11;182.28;2;-331.86039;-442.53541;-632.81493;-459.24383;-420.08594;-400.20001
12;176.28;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
13;225.61;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-433.89999
14;208.49001;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-400.20001
15;221.66;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-400.20001
16;224.69;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-433.89999
17;197.94;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;-400.20001
18;195.64;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
19;260.28;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
20;253.25999;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
21;212.64;2;-309.66677;-426.92481;-600.29918;-474.2566;-403.47565;
22;227.42999;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
23;268.84;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
24;270.62;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
25;250.62;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
26;247.44;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
27;242.97;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
28;266.60999;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
29;212.56;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
30;237.42;2;-309.66677;-426.92481;-600.29918;-474.2566;-403.47565;
31;234.67999;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
32;297.95001;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
33;229.33;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
34;302.95001;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
35;231.35001;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
36;235.83;2;-309.66677;-426.92481;-600.29918;-474.2566;-403.47565;
37;207.99001;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
38;237.61;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
39;245.7;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
40;226.22;2;-312.63022;-429.8356;-600.29918;-474.2566;-403.47565;
41;268.28;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
42;240.31;2;-309.66677;-426.92481;-600.29918;-474.2566;-403.47565;
43;287.78;2;-309.97582;-425.52211;-603.92564;-489.87843;-392.11782;
44;251.74001;2;-309.66677;-426.92481;-603.92564;-489.87843;-392.11782;
45;212.27;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
46;200.16;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
47;209.28;2;-311.05526;-425.40743;-627.34112;-466.24293;-414.88877;
48;273.97;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
49;262.82999;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
50;260.45999;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
51;276.42001;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
52;209.55;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
53;200.34;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
54;207.77;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
55;183.37;2;-311.05526;-425.40743;-627.34112;-466.24293;-414.88877;
56;175.46001;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
57;169.78999;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
58;171.69;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
59;174.50999;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
60;182.37;2;-331.86039;-442.53541;-632.81493;-459.24383;-420.08594;-400.20001
61;195.14999;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
62;202.89;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
63;196.49001;2;-311.05526;-425.40743;-627.34112;-466.24293;-414.88877;
64;198.28999;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
65;176.84;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
66;164.45;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
67;169.74001;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
68;171.39;2;-331.86039;-442.53541;-632.81493;-459.24383;-420.08594;-400.20001
69;194.87;2;-311.58419;-427.56525;-632.81493;-459.24383;-420.08594;-400.20001
70;211.82001;2;-311.05526;-425.40743;-627.34112;-466.24293;-414.88877;
71;209.41;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
72;203.06;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
73;161.13;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
74;169.64;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
75;186.82001;2;-331.86039;-442.53541;-632.81493;-459.24383;-420.08594;-400.20001
76;191.10001;2;-311.58419;-427.56525;-632.81493;-459.24383;-420.08594;-400.20001
77;163.83;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
78;193.58;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
79;163.92999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
80;160.02;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
81;170.53;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
82;183.92999;2;-311.58419;-427.56525;-632.81493;-459.24383;-420.08594;-400.20001
83;161.64;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
84;159.96001;2;-311.58419;-427.56525;-632.81493;-459.24383;-420.08594;-400.20001
85;155.06;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
86;158.21001;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
87;156.36;2;-312.84313;-426.43792;-625.41705;-462.72919;-422.0649;-414.10001
88;166.36;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
89;152.13;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
90;151.09;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
91;170.28999;2;-315.38973;-426.34039;-625.41705;-456.98969;-409.76048;-414.10001
92;161.64999;2;-315.38973;-426.34039;-625.41705;-456.98969;-409.76048;-414.10001
93;157.53;2;-315.38973;-426.34039;-625.41705;-456.98969;-409.76048;-414.10001
94;155.36;2;-315.38973;-426.34039;-625.41705;-456.98969;-409.76048;-414.10001
95;167.64;2;-331.86039;-442.53541;-632.81493;-459.24383;-420.08594;-400.20001
96;193.32001;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
97;159.46001;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
98;176.48;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
99;159.49001;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
100;167.52;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
101;151.33;2;-312.84313;-426.43792;-625.41705;-462.72919;-422.0649;-414.10001
102;160.03999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
103;149.92999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
104;166.42999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
105;176.06;2;-315.38973;-426.34039;-625.41705;-456.98969;-409.76048;-414.10001
106;174.2;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
107;195.12;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
108;215.41;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
109;179.91;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
110;175.28999;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
111;182.78;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
112;173.58;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
113;181.63;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
114;195.61;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
115;205.03;2;-311.05526;-425.40743;-627.34112;-466.24293;-414.88877;
116;220.10001;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
117;218.39;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
118;180.08;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
119;212.91;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
120;212.56;2;-306.59575;-417.27662;-619.62838;-461.74979;-402.87007;
121;209.53999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
122;228.62;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
123;229.61;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
124;196.45;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
125;257.35999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
126;242.75999;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
