maille_safran,maille_drias,latitude,longitude,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,altitude,departement,region_avant_2016,region2016,nature,clc_211,clc_221,clc_222,clc_231,clc_241,clc_242,clc_311,clc_312,clc_313,rupro,rupromin,rupromax,pro,hpf,hcc,hsat
4,18944,51.0497363846390250,2.3933835160772050,51.01390387924450,2.33649568986640,51.08561976617570,2.33649415877186,51.08556888551730,2.45035372835926,51.01385300761860,2.45019048731130,2,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Limite côtière,8.07,0.00,0.00,2.38,0.00,2.42,0.00,0.00,0.00,213.07,126.70,235.50,112.00,15.96,34.80,44.14
5,18945,51.0496337071023750,2.5071606163278800,51.01385300761860,2.45019048731130,51.08556888551730,2.45035372835926,51.08541433605670,2.56421313800737,51.01369859921690,2.56388511163359,2,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Frontière internationale,59.42,0.00,0.00,1.12,0.00,0.42,0.00,0.00,0.00,214.39,126.70,235.50,112.00,16.13,35.02,44.24
13,18797,50.9773894595715500,1.9388559549202775,50.94134630941230,1.88238023883980,51.01306875315290,1.88172173453634,51.01343285174190,1.99541384762838,50.94170992397910,1.99590799867659,4,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Limite côtière,28.81,0.00,0.00,1.88,0.00,3.64,1.52,0.00,0.00,235.50,235.50,235.50,120.00,18.95,38.56,45.74
14,18798,50.9777015383280750,2.0524663927462775,50.94170992397910,1.99590799867659,51.01343285174190,1.99541384762838,51.01369333558920,2.10910688852740,50.94197004200210,2.10943683615274,3,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Limite côtière,69.87,0.00,0.00,2.36,0.00,1.88,0.47,0.45,0.00,235.50,235.50,235.50,120.00,18.95,38.56,45.74
15,18799,50.9779102717946000,2.1660778790987175,50.94197004200210,2.10943683615274,51.01369333558920,2.10910688852740,51.01385066024860,2.22280099932476,50.94212704933850,2.22296679238997,2,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Limite côtière,60.28,0.00,0.00,4.75,0.00,0.45,0.00,0.00,0.00,235.50,235.50,235.50,120.00,18.95,38.56,45.74
16,18800,50.9780154424764750,2.2796901884076925,50.94212704933850,2.22296679238997,51.01385066024860,2.22280099932476,51.01390387924450,2.33649568986640,50.94218018107430,2.33649727204964,1,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Territoire,70.17,0.00,0.00,2.01,0.00,2.73,0.00,0.00,0.00,229.21,140.10,235.50,117.00,19.36,38.86,45.85
17,18801,50.9780166234673250,2.3933028147390875,50.94218018107430,2.33649727204964,51.01390387924450,2.33649568986640,51.01385300761860,2.45019048731130,50.94212942593190,2.45002780972901,1,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Territoire,68.97,0.00,0.00,5.73,0.00,0.40,2.29,0.00,0.00,217.88,204.40,248.10,110.00,20.06,39.66,45.63
18,18802,50.9779140703842000,2.5069153974447575,50.94212942593190,2.45002780972901,51.01385300761860,2.45019048731130,51.01369859921690,2.56388511163359,50.94197524876940,2.56355818110513,3,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Territoire,96.25,0.00,0.00,0.12,0.00,0.47,0.00,0.00,0.00,232.95,141.20,267.20,112.00,19.00,39.36,44.69
25,18652,50.9047290978282000,1.7125432138217275,50.86857957552300,1.65631446244725,50.94030820784710,1.65533007140319,50.94087901082840,1.76885389274428,50.86914959711430,1.76967442869219,82,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Limite côtière,60.17,0.00,0.00,2.33,0.00,1.31,0.67,0.00,0.00,181.80,138.80,277.20,85.00,22.25,38.94,45.51
26,18653,50.9052477925342750,1.8259863437509650,50.86914959711430,1.76967442869219,50.94087901082840,1.76885389274428,50.94134630941230,1.88238023883980,50.86961625278210,1.88303681472759,12,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,49.25,0.00,0.00,7.50,0.00,13.53,0.00,0.00,0.00,273.47,247.80,286.50,111.00,17.26,38.22,43.60
27,18654,50.9056629701178250,1.9394314138405150,50.86961625278210,1.88303681472759,50.94134630941230,1.88238023883980,50.94170992397910,1.99590799867659,50.86997939429780,1.99640060311808,3,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,72.09,0.00,0.00,10.20,0.00,1.49,0.05,0.00,0.00,237.60,235.50,288.20,120.00,18.87,38.58,45.64
28,18655,50.9059746319712000,2.0528778063960075,50.86997939429780,1.99640060311808,50.94170992397910,1.99590799867659,50.94197004200210,2.10943683615274,50.87023916760580,2.10976578763662,2,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,90.82,0.00,0.00,0.31,0.00,1.88,0.00,0.00,0.00,239.32,235.50,288.20,119.00,18.80,38.59,45.56
29,18656,50.9061830116372250,2.1663253730572700,50.87023916760580,2.10976578763662,50.94197004200210,2.10943683615274,50.94212704933850,2.22296679238997,50.87039578760250,2.22313207604975,2,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,96.72,0.00,0.00,0.45,0.00,0.67,0.00,0.00,0.00,235.14,140.10,235.50,120.00,18.97,38.58,45.75
30,18657,50.9062879526105750,2.2797737385133100,50.87039578760250,2.22313207604975,50.94212704933850,2.22296679238997,50.94218018107430,2.33649727204964,50.87044879242700,2.33649881356388,4,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Territoire,98.30,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,215.83,140.60,273.40,105.00,20.13,40.11,45.07
31,18658,50.9062891347716250,2.3932223714195400,50.87044879242700,2.33649881356388,50.94218018107430,2.33649727204964,50.94212942593190,2.45002780972901,50.87039813965330,2.44986559033563,20,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Territoire,94.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.53,204.10,299.30,127.00,14.95,36.92,41.60
32,18659,50.9061867408794500,2.5066709466983250,50.87039813965330,2.44986559033563,50.94212942593190,2.45002780972901,50.94197524876940,2.56355818110513,50.87024414916320,2.56323220562353,15,59 - Nord,Nord-Pas-de-Calais,Hauts-de-France,Territoire,92.97,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,275.90,267.10,299.30,127.00,14.63,36.24,41.27
37,18508,50.8323750847282250,1.6001677430790350,50.79617103605050,1.54410260302494,50.86790623885540,1.54295760661941,50.86857957552300,1.65631446244725,50.79684348848400,1.65729630022454,55,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Limite côtière,33.89,0.00,0.00,13.36,0.00,0.98,1.60,0.35,0.00,141.49,119.90,216.40,87.00,24.60,40.77,47.02
38,18509,50.8329963460890500,1.7134444945155375,50.79684348848400,1.65729630022454,50.86857957552300,1.65631446244725,50.86914959711430,1.76967442869219,50.79741272323490,1.77049278669817,69,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,47.45,0.00,0.00,32.17,0.00,1.93,0.00,0.00,0.00,126.90,110.13,210.90,72.00,22.83,37.16,42.59
39,18510,50.8335143204092000,1.8267238810664325,50.79741272323490,1.77049278669817,50.86914959711430,1.76967442869219,50.86961625278210,1.88303681472759,50.79787870850550,1.88369149414778,83,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,57.99,0.00,0.00,6.51,0.00,4.82,19.03,0.07,0.00,199.90,108.00,277.90,68.00,16.18,30.10,35.53
40,18511,50.8339289296241000,1.9400051534993200,50.79787870850550,1.88369149414778,50.86961625278210,1.88303681472759,50.86997939429780,1.99640060311808,50.79824136291100,1.99689170200383,35,62 - Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,Territoire,62.58,0.00,0.00,6.46,0.00,4.63,17.73,0.89,0.00,262.17,155.50,283.90,98.00,17.50,37.56,43.25
